"danceability","energy","loudness","mode","key","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration_ms","virality"
0.61,0.902,-4.351,"0","11",0.0764,0.133,0.000333,0.119,0.478,186.049,"3",154839,"No"
0.717,0.671,-5.077,"0","0",0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,"4",160657,"No"
0.754,0.763,-4.627,"0","7",0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,"4",164819,"No"
0.664,0.609,-6.509,"1","1",0.0707,0.304,0,0.0926,0.194,130.041,"4",210560,"No"
0.687,0.679,-9.426,"0","1",0.0432,0.109,0.000986,0.104,0.614,123.976,"4",144677,"No"
0.831,0.554,-9.998,"0","1",0.218,0.161,6.12e-05,0.152,0.396,140.026,"4",168228,"Yes"
0.345,0.941,-9.918,"1","9",0.0466,3.84e-05,0.633,0.0511,0.407,179.626,"4",147062,"No"
0.75,0.838,-5.132,"1","9",0.124,0.194,7.99e-06,0.313,0.397,123.89,"4",144245,"No"
0.514,0.73,-5.934,"1","1",0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,"4",200040,"Yes"
0.95,0.693,-3.424,"1","9",0.0898,0.0133,0,0.173,0.891,130.02,"4",184635,"No"
0.696,0.899,-5.812,"0","6",0.144,0.131,0.00141,0.114,0.517,123.901,"4",159927,"No"
0.552,0.831,-7.228,"0","6",0.194,0.0905,2.6e-05,0.44,0.733,127.851,"4",199687,"No"
0.669,0.687,-4.753,"1","0",0.043,0.152,1.6e-05,0.308,0.386,123.903,"4",145161,"No"
0.713,0.676,-5.483,"1","10",0.027,0.0377,0,0.154,0.721,99.048,"4",227395,"No"
0.789,0.536,-6.862,"1","6",0.242,0.41,0,0.129,0.437,81.039,"4",165926,"No"
0.823,0.771,-6.055,"0","9",0.0365,0.627,0.00101,0.271,0.658,122.015,"4",156885,"No"
0.679,0.869,-4.701,"0","5",0.138,0.00969,1.32e-05,0.278,0.41,125.09,"4",170040,"No"
0.855,0.488,-4.601,"1","3",0.208,0.506,0,0.347,0.619,124.097,"4",174253,"No"
0.722,0.893,-3.255,"0","0",0.0475,0.0441,0.000937,0.0673,0.439,119.932,"4",116750,"No"
0.799,0.543,-6.094,"0","10",0.24,0.0512,0.0425,0.134,0.25,187.906,"4",85742,"No"
0.78,0.718,-3.605,"0","3",0.0506,0.31,0.000163,0.0932,0.342,127.949,"4",199604,"Yes"
0.826,0.738,-4.658,"0","10",0.0444,0.00355,0.939,0.0633,0.781,93.005,"4",188421,"No"
0.677,0.696,-6.181,"1","0",0.119,0.321,0,0.42,0.464,90.03,"4",198082,"No"
0.736,0.802,-4.759,"1","0",0.0864,0.468,0,0.094,0.675,144.005,"4",172325,"No"
0.715,0.72,-3.906,"1","9",0.193,0.134,0,0.366,0.41,128.048,"4",138779,"No"
0.609,0.777,-5.879,"1","6",0.0353,0.00162,1.28e-06,0.073,0.349,126.001,"4",154286,"No"
0.58,0.696,-10.91,"1","7",0.0408,0.66,0.852,0.145,0.721,93.688,"4",111787,"No"
0.714,0.594,-10.63,"1","0",0.43,0.965,0.255,0.129,0.45,169.837,"4",158436,"No"
0.702,0.825,-3.787,"0","6",0.0601,0.00883,0,0.0674,0.915,102.977,"4",203064,"No"
0.845,0.669,-7.886,"1","8",0.0658,0.181,0.00347,0.0897,0.86,125.014,"4",151680,"No"
0.939,0.682,-5.931,"1","11",0.306,0.00152,0,0.0552,0.584,130.022,"4",154806,"Yes"
0.612,0.807,-2.81,"1","10",0.0336,0.0495,0.0177,0.101,0.398,124.053,"4",240400,"No"
0.595,0.812,-5.623,"1","9",0.0481,0.00321,1.38e-06,0.397,0.483,104.98,"4",124571,"No"
0.707,0.867,-4.355,"0","6",0.05,0.00453,0.00135,0.123,0.485,122.014,"4",158247,"No"
0.907,0.393,-7.636,"0","4",0.0539,0.451,1.35e-06,0.135,0.202,104.949,"4",205458,"No"
0.755,0.835,-6.727,"1","9",0.0537,0.0202,0.000999,0.145,0.471,125.005,"4",143040,"No"
0.828,0.621,-6.414,"1","8",0.0565,0.0164,0.00233,0.0845,0.436,128.986,"4",186173,"No"
0.719,0.648,-7.6,"0","3",0.125,0.2,0,0.127,0.66,140.201,"4",123263,"No"
0.611,0.797,-7.627,"0","6",0.0533,0.00543,0.00137,0.26,0.518,120.041,"4",218107,"No"
0.741,0.475,-7.665,"1","2",0.205,0.0214,0,0.351,0.597,166.016,"4",158160,"No"
0.601,0.703,-6.24,"1","7",0.0379,0.175,8.4e-05,0.571,0.673,106.164,"4",196213,"No"
0.824,0.862,-3.424,"1","2",0.126,0.0076,0.000132,0.303,0.801,122.98,"4",169153,"No"
0.783,0.727,-3.454,"0","6",0.389,0.185,2.46e-05,0.0626,0.558,180.067,"4",199112,"No"
0.7,0.722,-3.558,"0","7",0.0369,0.221,0,0.272,0.756,90.989,"4",140526,"Yes"
0.861,0.631,-10.286,"1","8",0.23,0.0188,0.000283,0.0954,0.675,117.993,"4",180923,"No"
0.585,0.436,-8.761,"1","10",0.0601,0.721,1.31e-05,0.105,0.132,143.874,"4",242014,"Yes"
0.799,0.66,-6.153,"0","1",0.079,0.256,0,0.111,0.471,140.04,"4",195429,"No"
0.547,0.865,-5.058,"0","7",0.0483,0.0141,0,0.245,0.638,159.87,"4",166354,"No"
0.868,0.795,-6.044,"1","11",0.269,0.0012,0.0193,0.0461,0.819,166,"4",156945,"Yes"
0.592,0.214,-13.468,"1","1",0.115,0.936,1.62e-05,0.253,0.422,81.672,"4",117037,"No"
0.714,0.666,-6.012,"1","6",0.0756,0.223,0,0.102,0.486,95.065,"4",178261,"No"
0.84,0.766,-4.12,"1","4",0.136,0.00302,3.61e-06,0.0684,0.402,94.018,"4",155884,"Yes"
0.72,0.744,-6.938,"0","1",0.12,0.237,0,0.255,0.619,78.953,"4",243773,"No"
0.75,0.879,-4.88,"0","4",0.0427,0.0233,0,0.193,0.333,124.038,"4",181308,"No"
0.798,0.62,-7.079,"0","8",0.232,0.414,0.0192,0.112,0.235,120.031,"4",164000,"No"
0.653,0.524,-9.016,"0","11",0.0502,0.112,0,0.203,0.553,83.97,"4",160191,"Yes"
0.539,0.615,-8.746,"0","1",0.252,0.173,0.0056,0.144,0.493,163.924,"4",214693,"No"
0.789,0.742,-5.664,"0","10",0.0652,0.0681,0,0.166,0.661,116.965,"4",167990,"No"
0.68,0.778,-6.294,"1","6",0.0433,0.0705,0,0.31,0.511,124.981,"4",172714,"No"
0.599,0.692,-4.43,"0","1",0.0739,0.124,0,0.375,0.307,121.796,"4",144349,"No"
0.436,0.655,-8.37,"0","1",0.0583,0.499,8.1e-06,0.688,0.412,121.002,"4",279204,"No"
0.709,0.548,-8.493,"1","10",0.353,0.65,1.59e-06,0.133,0.543,83.995,"4",160000,"Yes"
0.739,0.734,-6.062,"1","6",0.259,0.0242,0,0.0921,0.471,101.995,"4",174858,"No"
0.935,0.454,-7.509,"1","1",0.375,0.0194,0,0.0824,0.357,133.073,"4",187541,"Yes"
0.767,0.481,-8.52,"0","0",0.0803,0.234,0,0.269,0.761,150.076,"4",171375,"No"
0.766,0.64,-8.899,"1","0",0.0345,0.051,0,0.237,0.67,100.044,"4",165600,"No"
0.81,0.511,-6.924,"0","5",0.164,0.12,0,0.0832,0.837,151.947,"4",154998,"No"
0.662,0.413,-7.357,"1","0",0.0299,0.213,0,0.134,0.467,93.005,"4",161385,"Yes"
0.676,0.842,-5.98,"1","8",0.239,0.0578,0.00137,0.209,0.388,140.142,"4",134857,"No"
0.746,0.69,-7.956,"1","11",0.164,0.247,0,0.101,0.497,89.977,"4",181733,"No"
0.83,0.585,-6.476,"1","0",0.094,0.237,0,0.248,0.485,109.978,"4",173711,"No"
0.613,0.624,-6.66,"0","11",0.206,0.496,0,0.283,0.803,62.948,"5",167917,"No"
0.399,0.492,-10.777,"0","6",0.0538,0.058,0.00101,0.11,0.159,91.066,"4",210463,"Yes"
0.48,0.602,-6.335,"0","10",0.368,0.487,0,0.0848,0.269,179.798,"4",213333,"No"
0.889,0.34,-7.773,"0","11",0.0697,0.218,0.13,0.055,0.716,94.009,"4",174321,"Yes"
0.474,0.722,-6.209,"1","2",0.0355,0.0604,0,0.584,0.274,155.941,"4",149231,"No"
0.732,0.919,-4.634,"0","6",0.115,0.0271,0.000866,0.375,0.136,125.997,"4",190879,"No"
0.823,0.586,-6.606,"0","6",0.2,0.114,0,0.193,0.347,125.971,"4",190476,"No"
0.819,0.642,-7.037,"1","5",0.189,0.336,0,0.0735,0.452,138.026,"4",129241,"Yes"
0.776,0.509,-6.266,"0","0",0.467,0.192,1.49e-06,0.115,0.485,94.634,"4",129371,"Yes"
0.712,0.816,-6.56,"0","5",0.0447,0.152,0.0519,0.24,0.449,125.976,"4",128095,"No"
0.625,0.698,-5.804,"1","0",0.146,0.0107,0,0.156,0.204,120.119,"4",132625,"No"
0.68,0.729,-5.077,"1","5",0.0475,0.612,0,0.224,0.446,123.97,"4",179867,"Yes"
0.688,0.716,-5.702,"1","7",0.0385,0.0969,0,0.0989,0.373,116.912,"3",284480,"No"
0.574,0.852,-9.051,"1","5",0.0438,0.032,0.0705,0.136,0.0363,123.005,"4",165854,"No"
0.764,0.705,-5.279,"0","3",0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,"4",196520,"No"
0.824,0.854,-5.312,"1","8",0.177,0.016,4.95e-05,0.117,0.896,95.114,"4",210329,"Yes"
0.863,0.325,-7.864,"1","0",0.341,0.667,1.71e-05,0.1,0.537,98.948,"4",126314,"No"
0.853,0.637,-5.924,"0","3",0.331,0.129,0,0.267,0.496,86.048,"4",156195,"No"
0.734,0.789,-5.328,"1","11",0.243,0.0809,0.000115,0.215,0.258,125.992,"4",133810,"No"
0.728,0.431,-9.966,"0","6",0.0622,0.749,0,0.0996,0.629,130.022,"4",147800,"Yes"
0.798,0.824,-5.642,"0","0",0.413,0.206,0.000308,0.436,0.242,125,"4",134400,"No"
0.924,0.386,-8.183,"1","9",0.0548,0.755,0.00253,0.118,0.424,108.957,"4",179125,"Yes"
0.961,0.461,-8.684,"1","9",0.27,0.202,0.00402,0.162,0.324,108.028,"4",207640,"No"
0.639,0.704,-7.332,"1","10",0.0352,0.0646,0,0.445,0.285,115.052,"4",180522,"No"
0.716,0.537,-7.648,"0","0",0.0514,0.233,0,0.157,0.28,129.979,"4",165978,"No"
0.805,0.871,-5.716,"1","6",0.286,0.177,7.5e-06,0.266,0.443,136.01,"4",171696,"No"
0.588,0.685,-8.08,"1","8",0.0624,0.374,0.000155,0.581,0.122,107.938,"4",146669,"No"
0.715,0.706,-5.804,"0","4",0.383,0.326,0.000231,0.525,0.348,126.069,"4",137431,"No"
0.721,0.778,-6.53,"0","8",0.0459,0.00262,7.29e-05,0.111,0.449,122.023,"4",141636,"No"
0.826,0.615,-4.729,"0","1",0.137,0.435,0.00631,0.334,0.841,102.999,"4",175884,"No"
0.707,0.955,-4.593,"0","10",0.222,0.127,0,0.202,0.575,125.989,"4",134240,"No"
0.792,0.832,-4.406,"0","11",0.0397,0.367,0.00164,0.198,0.186,127.983,"4",146465,"No"
0.954,0.696,-7.117,"0","10",0.204,0.00576,0.000498,0.0754,0.432,100.036,"4",139413,"Yes"
0.753,0.75,-4.314,"1","11",0.0817,0.00421,3.47e-05,0.0775,0.266,124.998,"4",167040,"No"
0.706,0.895,-3.879,"0","8",0.148,0.299,0,0.48,0.556,120.978,"4",163884,"No"
0.843,0.741,-5.609,"1","11",0.334,0.0252,0,0.096,0.68,168.983,"4",155497,"Yes"
0.774,0.554,-7.909,"1","0",0.0383,0.207,0,0.132,0.349,99.034,"4",162547,"No"
0.73,0.729,-3.434,"0","4",0.0884,0.167,1.39e-06,0.349,0.467,113.011,"4",221820,"Yes"
0.67,0.544,-5.506,"1","4",0.0252,0.0429,0,0.0926,0.772,96.039,"3",200840,"No"
0.653,0.945,-2.634,"1","5",0.096,0.00561,0.915,0.439,0.325,126.093,"4",198095,"No"
0.896,0.586,-6.687,"0","10",0.0559,0.104,0,0.79,0.642,116.971,"4",196653,"Yes"
0.641,0.597,-7.06,"1","9",0.033,0.000399,0,0.367,0.394,120.06,"4",186000,"No"
0.863,0.631,-4.689,"1","7",0.0534,0.305,3.04e-05,0.123,0.817,128.977,"4",223480,"Yes"
0.83,0.49,-8.82,"0","1",0.209,0.289,3.04e-06,0.113,0.845,81.604,"4",247059,"Yes"
0.794,0.793,-4.521,"0","11",0.0842,0.0125,0,0.0952,0.677,123.941,"4",183290,"Yes"
0.63,0.633,-7.088,"1","4",0.0457,0.00776,0,0.0541,0.452,93.995,"4",172762,"No"
0.806,0.546,-6.637,"1","9",0.0575,0.3,0,0.102,0.874,147.986,"4",212867,"No"
0.581,0.718,-5.631,"1","1",0.0851,0.0195,0,0.075,0.149,92.992,"4",184516,"No"
0.642,0.725,-7.89,"1","11",0.0571,0.192,0,0.153,0.134,105.101,"4",196583,"No"
0.769,0.518,-6.563,"1","8",0.102,0.000573,0.108,0.342,0.504,121.116,"4",247976,"No"
0.676,0.609,-5.831,"0","2",0.481,0.0706,0,0.152,0.508,142.037,"4",237735,"No"
0.923,0.604,-6.671,"0","11",0.245,0.017,0,0.272,0.826,145.062,"4",139741,"No"
0.712,0.803,-7.206,"1","7",0.0276,0.00537,9.81e-05,0.307,0.308,120.018,"4",201005,"No"
0.878,0.525,-6.832,"1","5",0.0578,0.183,0,0.0714,0.694,112.022,"4",158571,"No"
0.726,0.815,-5.092,"0","4",0.101,0.206,0,0.631,0.627,121.975,"4",147367,"No"
0.787,0.673,-4.583,"0","11",0.159,0.264,3.35e-06,0.0904,0.779,110.962,"4",237893,"Yes"
0.667,0.719,-5.371,"0","7",0.0346,0.00285,8.1e-05,0.0736,0.717,100.021,"4",237520,"No"
0.785,0.431,-8.756,"0","10",0.0364,0.123,0,0.0887,0.236,127.085,"4",159382,"Yes"
0.769,0.796,-7.37,"1","8",0.0564,0.0279,1.97e-06,0.0871,0.681,122.039,"4",130286,"No"
0.726,0.431,-8.765,"0","8",0.135,0.731,0,0.696,0.348,144.026,"4",173333,"Yes"
0.719,0.611,-5.01,"0","7",0.0403,0.0582,0,0.155,0.489,129.962,"4",212354,"No"
0.829,0.792,-3.755,"0","2",0.0668,0.726,5.83e-06,0.122,0.758,118.05,"4",215507,"No"
0.769,0.787,-3.909,"1","11",0.367,0.189,0,0.129,0.836,126.77,"4",159715,"No"
0.802,0.591,-4.895,"1","8",0.225,0.0104,0,0.196,0.309,139.864,"4",157712,"Yes"
0.513,0.796,-4.075,"1","1",0.0629,0.00147,0.000209,0.0938,0.345,171.017,"4",201573,"Yes"
0.544,0.748,-5.556,"1","5",0.0865,0.0646,0,0.519,0.391,123.752,"4",148999,"No"
0.907,0.332,-9.828,"1","1",0.0836,0.326,0.0168,0.109,0.277,99.998,"4",106031,"Yes"
0.621,0.601,-5.616,"0","6",0.148,0.0522,0,0.46,0.457,116.735,"5",163636,"Yes"
0.649,0.716,-6.232,"1","11",0.0445,0.0879,0.03,0.0824,0.503,124.968,"4",235813,"No"
0.847,0.678,-8.635,"1","9",0.109,0.0669,0,0.274,0.811,97.984,"4",200594,"Yes"
0.721,0.707,-7.953,"1","11",0.224,0.563,6.4e-06,0.338,0.462,125.07,"4",128825,"No"
0.798,0.675,-5.041,"1","6",0.0442,0.0912,0,0.0894,0.842,101.956,"4",219947,"No"
0.778,0.559,-7.109,"0","6",0.0776,0.128,0,0.399,0.678,129.989,"1",185093,"No"
0.7,0.848,-5.473,"1","8",0.217,0.317,0,0.349,0.29,124.056,"4",129693,"No"
0.851,0.541,-6.825,"1","0",0.0505,0.568,0,0.13,0.448,124.959,"4",235545,"No"
0.752,0.488,-7.05,"1","6",0.0705,0.297,9.11e-06,0.0936,0.533,136.041,"4",201661,"No"
0.876,0.519,-6.531,"1","11",0.143,0.202,0,0.108,0.158,94.981,"4",175230,"No"
0.771,0.826,-3.978,"1","11",0.0604,0.142,0.03,0.145,0.185,100.012,"4",212280,"Yes"
0.516,0.358,-12.018,"0","8",0.424,0.743,1.3e-06,0.0813,0.397,79.509,"4",124000,"No"
0.504,0.677,-6.954,"0","4",0.064,0.316,0.00127,0.268,0.0375,128.078,"4",159023,"No"
0.64,0.74,-4.083,"1","4",0.0284,0.0115,0.00678,0.167,0.785,116.879,"4",216320,"No"
