Year_of_release,Videos_created,track_name,artist_name,artist_pop,album,track_pop,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,time_signature.2,duration_ms.2,time_signature.1,duration_ms.1
2022,352.3K videos,Build a Bitch,Bella Poarch,65,Build a Bitch,76,0.855,0.463,-7.454,1,3,0.0367,0.217,1.77E-05,0.347,0.866,102.931,4,122773,4,122773,4,122773
2022,5.9M videos,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,64,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),80,0.87,0.523,-8.052,0,1,0.0602,0.433,2.07E-05,0.113,0.319,110.02,4,204764,4,204764,4,204764
2022,1 videos,Can't Get You Out of My Head,loafers,48,Can't Get You Out of My Head,52,0.642,0.61,-9.194,0,2,0.0992,0.16,6.89E-06,0.408,0.294,129.886,3,168000,3,168000,3,168000
2022,518.1K videos,THATS WHAT I WANT,Lil Nas X,81,MONTERO,88,0.737,0.846,-4.51,0,1,0.22,0.00614,0,0.0486,0.546,87.981,4,143901,4,143901,4,143901
2022,7 videos,We Know,JAM & Philly,21,We Know,39,0.871,0.819,-6.022,0,4,0.256,0.142,0,0.106,0.712,112.114,4,198982,4,198982,4,198982
2022,29 videos,Cold Heart - PNAU Remix,Elton John,82,The Lockdown Sessions,73,0.795,0.8,-6.32,1,1,0.0309,0.0354,7.25E-05,0.0915,0.934,116.032,4,202735,4,202735,4,202735
2022,6.1M videos,Jiggle Jiggle,Duke & Jones,64,Jiggle Jiggle,81,0.864,0.412,-5.886,1,1,0.273,0.458,0.00087,0.124,0.654,99.992,4,97209,4,97209,4,97209
2022,344.5K videos,Lost,Frank Ocean,82,channel ORANGE,0,0.912,0.594,-4.894,0,10,0.226,0.0319,0.00122,0.123,0.514,123.07,4,234093,4,234093,4,234093
2022,0,Would I Lie to You,MISERO,40,Would I Lie to You,51,0.796,0.731,-7.725,0,7,0.0669,0.529,0.239,0.143,0.498,120.067,4,174000,4,174000,4,174000
2022,8 videos,Crazy,Alex D'Rosso,56,Crazy,53,0.681,0.865,-4.542,0,11,0.198,0.282,0.000169,0.33,0.494,123.056,4,148293,4,148293,4,148293
2022,5.3M videos,Life Goes On,Oliver Tree,70,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",80,0.7,0.49,-5.187,1,0,0.076,0.186,0,0.117,0.569,79.982,4,161803,4,161803,4,161803
2022,1.7M videos,Dinero,Trinidad Cardona,63,Dinero,73,0.708,0.782,-4.687,1,2,0.0674,0.00772,0,0.107,0.484,119.997,4,160880,4,160880,4,160880
2022,0,Pieces,Nippandab,40,Pieces,42,0.698,0.78,-6.251,1,6,0.0626,0.157,0.0325,0.309,0.203,122.076,4,177956,4,177956,4,177956
2022,1.8M videos,Pope Is a Rockstar,SALES,61,SALES LP,74,0.725,0.446,-8.958,0,4,0.0287,0.85,0.243,0.107,0.311,90.024,4,187333,4,187333,4,187333
2022,3 videos,Looking for Love,Asketa & Natan Chaim,42,Looking for Love,0,0.748,0.894,-4.677,1,7,0.0998,0.311,2.90E-05,0.239,0.503,120.004,4,148000,4,148000,4,148000
2022,31.1K videos,edamame (feat. Rich Brian),bbno$,72,edamame (feat. Rich Brian),77,0.815,0.848,-4.704,0,4,0.115,0.023,0.000162,0.0265,0.684,106.032,4,133707,4,133707,4,133707
2022,863.1K videos,I Hate U,SZA,82,I Hate U,79,0.535,0.388,-9.805,0,7,0.155,0.507,0,0.11,0.412,106.703,5,174000,5,174000,5,174000
2022,4 videos,She Wolf (Falling to Pieces),YES YES,54,She Wolf (Falling to Pieces),0,0.592,0.719,-5.044,1,2,0.0452,0.00858,0,0.635,0.169,125.03,4,171028,4,171028,4,171028
2022,2001 videos,Memories,Coopex,60,Memories,64,0.745,0.862,-4.18,1,8,0.116,0.335,0.000623,0.102,0.738,123.979,4,138453,4,138453,4,138453
2022,3.3M videos,Ameno Amapiano Remix (You Wanna Bamba),Goya Menor,52,Ameno Amapiano Remix (You Wanna Bamba),68,0.807,0.898,-5.837,0,6,0.0393,0.188,0.000395,0.0824,0.743,112.998,4,227101,4,227101,4,227101
2022,5 videos,Say My Name,Why Not,36,Say My Name,54,0.773,0.74,-5.052,0,5,0.0315,0.00779,2.48E-05,0.15,0.659,125.981,4,160026,4,160026,4,160026
2022,1.9M videos,Woman,Doja Cat,88,Planet Her,89,0.824,0.764,-4.175,0,5,0.0854,0.0888,0.00294,0.117,0.881,107.998,4,172627,4,172627,4,172627
2022,1.5M videos,Leave The Door Open,Bruno Mars,86,Leave The Door Open,31,0.586,0.616,-7.964,1,5,0.0324,0.182,0,0.0927,0.719,148.088,4,242096,4,242096,4,242096
2022,472.1K videos,I AM WOMAN,Emmy Meli,59,I AM WOMAN,76,0.646,0.471,-9.247,1,10,0.157,0.122,0,0.125,0.455,170.084,4,232813,4,232813,4,232813
2022,20 videos,Paint It Black,Dame Dame,48,Paint It Black,56,0.69,0.741,-7.405,1,7,0.0363,0.0433,0.00429,0.0975,0.0774,125.985,4,146190,4,146190,4,146190
2022,2.5M videos,Vacation,Dirty Heads,65,Vacation,67,0.736,0.751,-5.588,1,8,0.034,0.0381,0,0.105,0.839,150.064,4,209722,4,209722,4,209722
2022,11 videos,Free Falling Love,Lucas Estrada,63,Free Falling Love,58,0.771,0.932,-3.727,0,7,0.0424,0.311,0.000158,0.116,0.139,120.012,4,155000,4,155000,4,155000
2022,0,Ocean Drive,Harddope,49,Ocean Drive,51,0.645,0.868,-6.861,0,8,0.0828,0.0661,0.00471,0.241,0.51,120.009,4,197000,4,197000,4,197000
2022,2M videos,Kiss Me More (feat. SZA),Doja Cat,88,Kiss Me More (feat. SZA),82,0.762,0.701,-3.541,1,8,0.0286,0.235,0.000158,0.123,0.742,110.968,4,208867,4,208867,4,208867
2022,8.4M videos,Beggin',Måneskin,78,Chosen,86,0.714,0.8,-4.808,0,11,0.0504,0.127,0,0.359,0.589,134.002,4,211560,4,211560,4,211560
2022,7 videos,The Hills,Farux,45,The Hills,48,0.656,0.778,-6.838,1,8,0.265,0.4,0,0.533,0.736,125.916,4,129717,4,129717,4,129717
2022,2 video,Young Folks,Jungle Jonsson,40,Young Folks,48,0.75,0.731,-7.367,0,5,0.0379,0.068,3.63E-05,0.184,0.335,134.977,4,174222,4,174222,4,174222
