"virality","loudness","acousticness","danceability","duration_ms","speechiness","instrumentalness","key"
"No",0.833012231730812,0.0142908015922573,0.507444168734491,0.425488713935179,0.0193921524155137,0,0.818181818181818
"No",0.740131726331825,0.0205918604953689,0.69727047146402,0.405549417962345,0.0411657972329326,0,0.272727272727273
"No",0.859133473721941,0.154438547195338,0.614143920595534,0.250093614448024,0.0201859832161488,1.70394036208733e-05,0
"No",0.750436847529011,0.0293320389738787,0.641439205955335,0.30589712876929,0.0181447040145158,0,0
"No",0.690353510461938,0.237775132688105,0.735732009925558,0.311062785640358,0.0624858244499887,0,0
"No",0.697074241677494,0.507094585804974,0.325062034739454,0.561854147527067,0.0375368564300295,8.62619808306709e-06,0.0909090909090909
"No",0.784712576728348,0.0166282911853471,0.811414392059553,0.345480340965915,0.0354955772283965,0.00248136315228967,0.727272727272727
"No",0.858326985976074,0.475589291289416,0.698511166253102,0.313272319196195,0.0709911544567929,0,0
"No",0.827456427259286,0.00160737980018732,0.563275434243176,0.344550011047668,0.0207530052166024,0,0.727272727272727
"No",0.739773287333662,0.0720166315433448,0.470223325062035,0.425179379237362,0.0554547516443638,0.00596379126730564,0.727272727272727
"No",0.731798019624535,0.122933252679779,0.648883374689826,0.416690118733356,0.108641415286913,0,0.0909090909090909
"No",0.862135400331556,0.0388852573108544,0.67741935483871,0.320487027712202,0.113177591290542,0,0.0909090909090909
"No",0.934181638962319,0.0558574643563326,0.610421836228288,0.365638264469538,0.0183715128146972,0,0.272727272727273
"No",0.775169138402258,0.848571326360704,0.521091811414392,0.303259643451059,0.383080063506464,0,0.727272727272727
"Yes",0.762937407589946,0.447132896243105,0.728287841191067,0.467893151608889,0.0784758448627807,7.13525026624068e-06,1
"No",0.863121107576504,0.137161450202935,0.405707196029777,0.295158795687921,0.0489907008391926,0,0
"Yes",0.812939647833684,0.536567280674368,0.78908188585608,0.533097649754044,0.0117940576094352,0,0
"No",0.887181325328196,0.00600795803413467,0.553349875930521,0.394634322196509,0.0214334316171467,1.17145899893504e-06,0.0909090909090909
"No",0.81002733097361,0.098643686908107,0.942928039702233,0.334007047249131,0.0859605352687684,1.2779552715655e-06,1
"Yes",0.711366996729244,0.44103509730461,0.849875930521092,0.388719749741252,0.038557496030846,2.49201277955272e-05,0.0909090909090909
"No",0.946323760025091,0.00408715136850869,0.776674937965261,0.437180635182752,0.0271036516216829,0.00333333333333333,0.545454545454545
"No",0.821407769165285,0.00245090865334582,0.513647642679901,0.44974008907909,0.0170106600136085,0.00274760383386581,0.636363636363636
"Yes",0.791746942067297,0.490833788635654,0.672456575682382,0.298345175657918,0.00895894760716716,0,0.0909090909090909
"No",0.817061696312559,0.303834621188469,0.646401985111663,0.304613273482109,0.0273304604218644,0,0.363636363636364
"No",0.753573188762937,0.130047351441357,0.749379652605459,0.342968450186647,0.0594239056475391,0,0.545454545454545
"No",0.764415968457368,0.248954430742013,0.544665012406948,0.399485992720168,0.27421183941937,0,0.727272727272727
"No",0.866795107307675,0.0164250312207306,0.676178660049628,0.44216022607017,0.0123610796098889,2.49201277955272e-06,0.909090909090909
"No",0.871858058156727,0.0479303257362889,0.504962779156327,0.509746368806038,0.0207530052166024,0,0.636363636363636
"No",0.822572695909315,0.187976441357061,0.529776674937965,0.268767661732042,0.0256293944205035,3.09904153354633e-05,0.181818181818182
"No",0.903355885120301,0.465426293058591,0.699751861042184,0.341826470211999,0.0212066228169653,0,0.636363636363636
"No",0.82552981764416,0.0296369289208034,0.633995037220844,0.488969775906781,0.440916307552733,0,0.909090909090909
"Yes",0.768582821811013,0.0501661853470705,0.875930521091811,0.178781500389576,0.0417328192333863,0.0740149094781683,0.181818181818182
"Yes",0.844258255298176,0.07811443048184,0.944168734491315,0.304392320126525,0.150601043320481,2.04472843450479e-06,1
"Yes",0.806218916618128,0.00144477182849412,0.421836228287841,0.377732553406752,0.0392379224313903,0.000101597444089457,0.0909090909090909
"Yes",0.8207805009185,0.0255717296284733,0.830024813895782,0.274133339535533,0.350192787480154,0,1
"No",0.89847215377033,0.00801006868560724,0.600496277915633,0.346596736867812,0.110909503288728,0,0.0909090909090909
"No",0.903803933868005,0.0138842816630243,0.586848635235732,0.363286855601168,0.0232479020185983,0.000700745473908413,0
"No",0.773780187284376,0.226595834634197,0.524813895781638,0.443883662243723,0.0188251304150601,0,0.727272727272727
"No",0.459070746897262,0.91564711468415,0.405707196029777,0.361842518403089,0.316171467452937,0,0.363636363636364
"Yes",0.665890048837313,0.73474574617546,0.658808933002481,0.396306590224558,0.0149693808119755,0.862619808306709,0.636363636363636
"No",0.595770419821677,0.865848423353106,0.609181141439206,0.294172645974579,0.150601043320481,0.12566560170394,0.636363636363636
"Yes",0.73954926295981,0.771332539806431,0.707196029776675,0.284606528590201,0.258335223406668,0.247071352502662,0.363636363636364
"No",0.554684349657243,0.113786554272037,0.919354838709677,0.263715970275959,0.510092991608074,0,0.636363636363636
"No",0.73242528787132,0.199155739410969,0.873449131513648,0.271709830098499,0.05330006804264,0.461128860489883,0
"Yes",0.682467852502352,0.0790291003226142,0.981389578163772,0.159049202823551,0.463597187570878,1.19275825346113e-06,0
"No",0.85304001075317,0.0288238890623374,0.6712158808933,0.421148724866556,0.031980040825584,0,0.363636363636364
"No",0.686724315605538,0.0146973215214903,0.919354838709677,0.310067332627833,0.2163755953731,0.00019062832800852,0.0909090909090909
"No",0.856714010484341,0.0324825684254345,0.852357320099256,0.348731844030189,0.0539804944431844,5.0692225772098e-06,0.0909090909090909
